laagBeschikbaarheid|legendeNaam|legendeGroep|subsoort|energiedragerNetten|dataType|status|url|laagNaam|cqlFilter|popup|attributeMap|fig|legendaItems|fillColor|color|eenheid|weight|opacity|fillOpacity|dash|radius|zoomMin|zoomMax|jaarSlider|tableParams|attribution|metadata|bronNaam|bronActoren|verantwoordelijkeActor|juridischeGrondslag|contactpersoon
|GasCentrales B|Producenten Gassen/Olien|Gas|gassen/olien|wfs|milieuGemonitord|https://rvo.tailormap.nl/geoserver/WarmteAtlas/wfs?|GroteStookInstallaties|Sector LIKE 'E_Centrale' and Aardgas > 0|||circ||#891164|#891164||||||3|||||RijksOverheid||WarmteAtlas|RVO/RIVM|EZK|MilieuWet/EED|
x|GasCentrales|Producenten Gassen/Olien|Gas|gassen/olien|wms|operationeel|https://rvo.b3p.nl/geoserver/WarmteAtlas/wms?|GroteStookInstallaties|Sector LIKE 'E_Centrale' and Aardgas > 0|||rect||purple|purple|||||||||||RijksOverheid||WarmteAtlas||EZK|MilieuWet/EED|
x|Raffinage Installaties > 50 MW|Producenten Gassen/Olien|ETSbedrijven|gassen/olien|wms|milieuGemonitord|https://rvo.b3p.nl/geoserver/WarmteAtlas/wms?|GroteStookInstallaties|Raffinage LIKE '%Ja%'|||circle||purple|purple|||||||8|12|||RijksOverheid||WarmteAtlas|RVO/RIVM|EZK|MilieuWet/EED/BEV|
x|Aardgas Leidingen|Netten Gassen/Vloeistoffen|Buisleidingen|gassen/olien|droppedGeoJson|veiligGehandhaafd|BuisleidingenRRGS.geojson|BuisleidingenRRGS|hoofdtype == 'Aardgas'|||line||red|red||uitw_diam_inch/10|||||||||RijksOverheid|||VeiligheidsRegio's/Kadaster/SoDM/ACM|EZK|BEV|
x|Waterstof|Netten Gassen/Vloeistoffen|Waterstof|gassen/olien|droppedGeoJson|veiligGehandhaafd|BuisleidingenRRGS.geojson|BuisleidingenRRGS|stofnaam == 'waterstof'|||line||aqua|aqua||uitw_diam_inch/10|||||||||RijksOverheid|||RVO/Kadaster|||
x|Carbon dioxide|Netten Gassen/Vloeistoffen|CO2|gassen/olien|droppedGeoJson|veiligGehandhaafd|BuisleidingenRRGS.geojson|BuisleidingenRRGS|stofnaam ==  'carbon dioxide'|||line||blanchedAlmond|blanchedAlmond||uitw_diam_inch/10|||||||||RijksOverheid||||||
x|Nafta|Netten Gassen/Vloeistoffen|Nafta|gassen/olien|droppedGeoJson|veiligGehandhaafd|BuisleidingenRRGS.geojson|BuisleidingenRRGS|stofnaam == 'nafta (64741-42-0)'|||line||Goldenrod|Goldenrod||uitw_diam_inch/10|||||||||RijksOverheid||||||
x|Overige leidingen|Netten Gassen/Vloeistoffen|Overige|gassen/olien|droppedGeoJson|veiligGehandhaafd|BuisleidingenRRGS.geojson|BuisleidingenRRGS|hoofdtype == 'Overig'|||line||magenta|magenta||uitw_diam_inch/10|||||||||RijksOverheid|||VeiligheidsRegio's/Kadaster/SoDM/ACM|EZK|BEV|
x|Aardolie|Netten Gassen/Vloeistoffen|CO2|gassen/olien|droppedGeoJson|veiligGehandhaafd|BuisleidingenRRGS.geojson|BuisleidingenRRGS|stofnaam == 'aardolie'|||line||Chocolate|Chocolate||uitw_diam_inch/10|||||||||RijksOverheid||||||
x|Stikstof|Netten Gassen/Vloeistoffen|Stikstof|gassen/olien|droppedGeoJson|veiligGehandhaafd|BuisleidingenRRGS.geojson|BuisleidingenRRGS|stofnaam == 'stikstof'|||line||orange|orange||uitw_diam_inch/10|||||||||RijksOverheid||||||
x|Nitrogen|Netten Gassen/Vloeistoffen|Nitrogen|gassen/olien|droppedGeoJson|veiligGehandhaafd|BuisleidingenRRGS.geojson|BuisleidingenRRGS|stofnaam == 'nitrogen'|||line||orange|orange||uitw_diam_inch/10|||||||||RijksOverheid||||||
x|Velden|Producenten Gassen/Olien|Olie|gassen/olien|wms|geoGeregistreerd|https://www.nlog.nl/arcgis/services/nlog/gdw_ng_field_utm/MapServer/WMSServer?|0||||||||||||||||||RijksOverheid||NLOG|AGE-TNO|EZK|MijnbouwWet|
x|ProductiePlatforms|Producenten Gassen/Olien|Olie en Gas|gassen/olien|wms|veiligGehandhaafd|https://www.nlog.nl/arcgis/services/nlog/gdw_ng_facility_utm/MapServer/WMSServer?|0||||||||||||||||||RijksOverheid||NLOG|AGE-TNO|EZK|MijnbouwWet|
x|Vergunningen Steenkool|Producenten Gassen/Olien|Olie en Gas|gassen/olien|wms|ruimtelijkVergund|https://www.nlog.nl/arcgis/services/nlog/gdw_ng_licence_coal_utm/MapServer/WMSServer?|0||||||||||||||||||RijksOverheid||NLOG|AGE-TNO|EZK|MijnbouwWet|
x|Vergunningen Olie en Gas|Producenten Gassen/Olien|Olie en Gas|gassen/olien|wms|ruimtelijkVergund|https://www.nlog.nl/arcgis/services/nlog/gdw_ng_licence_HYDROCARBONS_utm/MapServer/WMSServer?|0||||||||||||||||||RijksOverheid||NLOG|AGE-TNO|EZK|MijnbouwWet|
x|Vergunningen Opslag|Producenten Gassen/Olien|Olie en Gas|gassen/olien|wms|ruimtelijkVergund|https://www.nlog.nl/arcgis/services/nlog/gdw_ng_licence_str_utm/MapServer/WMSServer?|0||||||||||||||||||RijksOverheid||NLOG|AGE-TNO|EZK|MijnbouwWet|
x|Subsidie CO2arme Productie Attr|Reducenten CO2|CO2arm|gassen/olien|droppedGeoJson|subsidieBeschikt|RVO_SDE.geojson|RVO_SDE|SubSoort == 'CO2armeProductie'|||circle||purple|purple||||||radius*2|||||RijksOverheid||DOP-projecten|RVO|EZK|KaderWet/EED|
x|alle Installaties|Consumenten (ligging)|Installaties|gassen/olien|droppedGeoJson|veiligGehandhaafd|Installaties_puntBkl.geojson|Installaties_puntBkl|bron == 'punt'|||circle||pink|pink|||||||||||RijksOverheid||||||
x|BKL E6 Installaties|Consumenten (ligging)|Installaties|gassen/olien|droppedGeoJson|veiligGehandhaafd|Installaties_puntBkl.geojson|Installaties_puntBkl|bkl_cat ==  'E6'|||circle||orange|orange|||||||||||RijksOverheid||||||
